STATUS,METHOD,URL,ACCOUNT_IDX,REQ_PARAMS,REQ_BODY,REQ_QUERY,RES_MESSAGE,RESPONSE_TIME,CREATED_AT,LOG
200,GET,/login/oauth/google,,{},{},{},,2.83ms,Sat Jun 22 2024 14:44:13 GMT+0900 (대한민국 표준시),
200,GET,/login/oauth/google/redirect?code=4%2F0ATx3LY4Fdo7y0b3w33K5lsKx44CVEil68gGTxwbAWCsiLAmowifDeNPiR-jettFB2_XEaA&scope=email+profile+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.profile+openid+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email&authuser=0&prompt=none,,{},{},"{""code"":""4/0ATx3LY4Fdo7y0b3w33K5lsKx44CVEil68gGTxwbAWCsiLAmowifDeNPiR-jettFB2_XEaA"",""scope"":""email profile https://www.googleapis.com/auth/userinfo.profile openid https://www.googleapis.com/auth/userinfo.email"",""authuser"":""0"",""prompt"":""none""}",,60.85ms,Sat Jun 22 2024 14:44:22 GMT+0900 (대한민국 표준시),
200,GET,/login/oauth/google,,{},{},{},,4.15ms,Sat Jun 22 2024 14:45:23 GMT+0900 (대한민국 표준시),
200,GET,/login/oauth/google/redirect?code=4%2F0ATx3LY5tW8kzYDyijUKSf05iszmkY_OIue0_YIKaVU23soTkFD7jvCxOOFjEBY_bQYjDXg&scope=email+profile+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.profile+openid+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email&authuser=0&prompt=none,,{},{},"{""code"":""4/0ATx3LY5tW8kzYDyijUKSf05iszmkY_OIue0_YIKaVU23soTkFD7jvCxOOFjEBY_bQYjDXg"",""scope"":""email profile https://www.googleapis.com/auth/userinfo.profile openid https://www.googleapis.com/auth/userinfo.email"",""authuser"":""0"",""prompt"":""none""}",,57.55ms,Sat Jun 22 2024 14:45:30 GMT+0900 (대한민국 표준시),
200,GET,/,,{},{},{},,16.13ms,Sat Jun 22 2024 15:01:06 GMT+0900 (대한민국 표준시),
200,GET,/login/oauth/google,,{},{},{},,33.48ms,Sat Jun 22 2024 15:07:42 GMT+0900 (대한민국 표준시),
200,GET,/login/oauth/google/redirect?code=4%2F0ATx3LY5bSl_5zYJIJqtG6YnGx4PLFH7TjyF4SFQ3A-FTKG4NRLYudmffy-skgqYcNBHo0g&scope=email+profile+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.profile+openid+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email&authuser=0&prompt=none,,{},{},"{""code"":""4/0ATx3LY5bSl_5zYJIJqtG6YnGx4PLFH7TjyF4SFQ3A-FTKG4NRLYudmffy-skgqYcNBHo0g"",""scope"":""email profile https://www.googleapis.com/auth/userinfo.profile openid https://www.googleapis.com/auth/userinfo.email"",""authuser"":""0"",""prompt"":""none""}",,92.38ms,Sat Jun 22 2024 15:07:50 GMT+0900 (대한민국 표준시),
200,GET,/,,{},{},{},,3.00ms,Sat Jun 22 2024 15:08:07 GMT+0900 (대한민국 표준시),
200,GET,/,,{},{},{},,2.40ms,Sat Jun 22 2024 15:08:29 GMT+0900 (대한민국 표준시),
200,GET,/login/oauth/google/redirect?code=4%2F0ATx3LY5bSl_5zYJIJqtG6YnGx4PLFH7TjyF4SFQ3A-FTKG4NRLYudmffy-skgqYcNBHo0g&scope=email+profile+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.profile+openid+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email&authuser=0&prompt=none,,{},{},"{""code"":""4/0ATx3LY5bSl_5zYJIJqtG6YnGx4PLFH7TjyF4SFQ3A-FTKG4NRLYudmffy-skgqYcNBHo0g"",""scope"":""email profile https://www.googleapis.com/auth/userinfo.profile openid https://www.googleapis.com/auth/userinfo.email"",""authuser"":""0"",""prompt"":""none""}",,65.44ms,Sat Jun 22 2024 15:08:49 GMT+0900 (대한민국 표준시),
200,GET,/login/oauth/google,,{},{},{},,4.70ms,Sat Jun 22 2024 15:09:00 GMT+0900 (대한민국 표준시),
200,GET,/login/oauth/google/redirect?code=4%2F0ATx3LY5wowykTv6RA7psjimfrXQHC1vP_6ZVJSxW3QpKZBfnLtjerMO91ZmnuqFrTjhmWg&scope=email+profile+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email+openid+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.profile&authuser=0&prompt=none,,{},{},"{""code"":""4/0ATx3LY5wowykTv6RA7psjimfrXQHC1vP_6ZVJSxW3QpKZBfnLtjerMO91ZmnuqFrTjhmWg"",""scope"":""email profile https://www.googleapis.com/auth/userinfo.email openid https://www.googleapis.com/auth/userinfo.profile"",""authuser"":""0"",""prompt"":""none""}",,56.04ms,Sat Jun 22 2024 15:09:07 GMT+0900 (대한민국 표준시),
200,GET,/login/oauth/google,,{},{},{},,2.01ms,Sat Jun 22 2024 15:09:58 GMT+0900 (대한민국 표준시),
200,GET,/login/oauth/google/redirect?code=4%2F0ATx3LY6fEuX6_vAOsutadUB2-I1l06h21CwyoWCGSAhcPenveeeC-qkIul8F4L04H2OOBA&scope=email+profile+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.profile+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email+openid&authuser=0&prompt=none,,{},{},"{""code"":""4/0ATx3LY6fEuX6_vAOsutadUB2-I1l06h21CwyoWCGSAhcPenveeeC-qkIul8F4L04H2OOBA"",""scope"":""email profile https://www.googleapis.com/auth/userinfo.profile https://www.googleapis.com/auth/userinfo.email openid"",""authuser"":""0"",""prompt"":""none""}",,60.39ms,Sat Jun 22 2024 15:10:06 GMT+0900 (대한민국 표준시),
